day,q10,q25,q50,q75,q90,variable,group
39,0.17256961462473983,0.26127315004780705,0.3709194613864729,0.5649403589806906,0.9308222800920644,cum_rv,all
40,0.17449372811893424,0.26474432369021306,0.37488507817912203,0.5740961526751287,0.9404732120910949,cum_rv,all
41,0.176354649901862,0.26805731087641715,0.38010576495348397,0.5788950289091338,0.9462321452022701,cum_rv,all
42,0.180682641408395,0.2706047263836024,0.38530113414667605,0.5920497189383382,0.9477635280667636,cum_rv,all
43,0.18461712582113443,0.27304422359047964,0.3910256273388765,0.5961127275089293,0.9521979202461224,cum_rv,all
44,0.18774282951495141,0.2771678428657381,0.3947589731566973,0.60049321748182,0.9543336557397744,cum_rv,all
45,0.19102658196551567,0.28224312882783054,0.39740785712137355,0.6091469541376318,0.9677133915569148,cum_rv,all
46,0.1946010630039264,0.2871775708541308,0.4000855210201733,0.6129094658078107,0.9849138734375447,cum_rv,all
47,0.197006541640885,0.2903845497795633,0.40532078519141207,0.6160004815396807,1.0067023160552173,cum_rv,all
48,0.19968738032660371,0.29554099793044386,0.40773150418624615,0.6177667702896046,1.0239529561746277,cum_rv,all
49,0.20229151131901285,0.2975780763475962,0.4150697825822296,0.6262706445847992,1.0259210592242602,cum_rv,all
50,0.20435630561008464,0.3016795643715632,0.42200515758354973,0.6337503602252129,1.0287700514672928,cum_rv,all
51,0.206742076807261,0.30291037327945364,0.425702522728427,0.6393548138332601,1.0415148189891348,cum_rv,all
52,0.206781583605575,0.3079236142292486,0.4289276913181781,0.6437660348969539,1.0523036476547092,cum_rv,all
53,0.2087211731043229,0.31004808459333477,0.43340517170779386,0.6489399871040997,1.068389278591643,cum_rv,all
54,0.21109785002288328,0.31252210034071465,0.43390721959851225,0.6545182098607144,1.070734121665871,cum_rv,all
55,0.21410638805606405,0.3135616760312998,0.4427367190138895,0.6605928607798808,1.0752902574955003,cum_rv,all
56,0.2147535165522952,0.3161014084358179,0.4468191229890629,0.6673710835496398,1.0764241264707926,cum_rv,all
57,0.2168640516965821,0.31777995881880705,0.45003445280331505,0.669559506226081,1.1080274420975418,cum_rv,all
58,0.22096214233544756,0.32208815088951637,0.453027374785704,0.6773736873675251,1.1185065809192527,cum_rv,all
59,0.2227797804511983,0.3258413843431188,0.45823100141712897,0.6884900029779778,1.1367545547155817,cum_rv,all
60,0.22624857554922603,0.3274132024469294,0.46135779941521243,0.6956287161141271,1.151751946628875,cum_rv,all
1,5.771745437958521,13.546938199798236,26.88355629321912,60.16270173468806,150.5795446659806,daily_ti_ratio,all
2,1.4441313831978668,3.195228615260789,6.761677142832917,18.85961343511808,67.21000742551543,daily_ti_ratio,all
3,0.891655394035564,1.9273544378594865,4.0280238718291494,10.173164878808455,37.466459819263186,daily_ti_ratio,all
4,0.7056443993609381,1.615081882619875,3.2962115288306375,7.688789485876146,26.215473443244516,daily_ti_ratio,all
5,0.5697272045622472,1.5555686715552375,3.7613380915276475,8.188070744685003,21.355425316589866,daily_ti_ratio,all
6,0.5143899132047703,1.1458163413603786,2.26478129210985,6.3344106789058525,22.75112058500266,daily_ti_ratio,all
7,0.47846394054301494,0.9679258808443034,2.034718613104749,4.853221751797795,16.05336021869107,daily_ti_ratio,all
8,0.38006858550063605,0.8386711810766286,1.980501309637392,4.765490743267918,11.778395101444291,daily_ti_ratio,all
9,0.36367051171377707,0.811035203709042,1.7127243977938968,4.06076826644926,13.588460432001488,daily_ti_ratio,all
10,0.37614982639108446,0.7647881655109005,1.5804540598770103,4.300566629497156,11.534833635591761,daily_ti_ratio,all
11,0.37039671235264865,0.7342057404822776,1.5492413028243583,3.8565879171797444,11.381827760177714,daily_ti_ratio,all
12,0.31892298220048415,0.723159651399963,1.5134271857446797,3.8032267331534837,11.371454308152517,daily_ti_ratio,all
13,0.3111545042200026,0.6901941956744654,1.4147921830088188,3.3197022877581697,11.009536974329837,daily_ti_ratio,all
14,0.32346197218563827,0.727598159386906,1.4440061808031517,3.2932569400433924,8.846168382407567,daily_ti_ratio,all
15,0.279513490282261,0.600998438444654,1.2705571985928539,3.0985887737225473,9.51086507642891,daily_ti_ratio,all
16,0.307295563846533,0.6508445047326364,1.3569090497865715,3.216852005590219,7.968565537626184,daily_ti_ratio,all
17,0.33416864993248935,0.6710309810291133,1.5109080343095018,3.1996633305141415,8.050854824519604,daily_ti_ratio,all
