phase,threshold,kind,cutoff,n,log_score,crps,p_positive,observed_positive,coverage50,coverage50_lo,coverage50_hi,coverage80,coverage80_lo,coverage80_hi,coverage95,coverage95_lo,coverage95_hi
final,1000000000.0,M0,5,18,-0.5980570604866758,0.2391590489252867,0.5485017991973399,0.3333333333333333,0.5,0.2835712218417355,0.7164287781582644,0.7777777777777778,0.5542014068260661,0.9199779279837021,1.0,0.8714417881782404,0.9999730968826991
final,1000000000.0,M0,10,18,-0.6091666775111818,0.24032694644879374,0.5327324760545049,0.2222222222222222,0.4444444444444444,0.23743160029519395,0.6678046541458583,0.8888888888888888,0.688849136144016,0.9761754602619871,0.9444444444444444,0.768388191510474,0.9939386558346731
final,1000000000.0,M0,20,18,-0.45358976764481934,0.21459549547582413,0.5345742453176321,0.2222222222222222,0.4444444444444444,0.23743160029519395,0.6678046541458583,0.8333333333333334,0.6186434465103174,0.9507117694313367,0.9444444444444444,0.768388191510474,0.9939386558346731
final,1000000000.0,M1,5,18,-0.5657977726333546,0.23190122666262492,0.5467263669259755,0.3333333333333333,0.5,0.2835712218417355,0.7164287781582644,0.7777777777777778,0.5542014068260661,0.9199779279837021,1.0,0.8714417881782404,0.9999730968826991
final,1000000000.0,M1,10,18,-0.6077315394710738,0.23992370584448952,0.5293029367519015,0.2222222222222222,0.4444444444444444,0.23743160029519395,0.6678046541458583,0.8333333333333334,0.6186434465103174,0.9507117694313367,0.9444444444444444,0.768388191510474,0.9939386558346731
final,1000000000.0,M1,20,18,-0.43815889258431256,0.21254019546781233,0.5246048377755906,0.2222222222222222,0.4444444444444444,0.23743160029519395,0.6678046541458583,0.7777777777777778,0.5542014068260661,0.9199779279837021,0.9444444444444444,0.768388191510474,0.9939386558346731
final,1000000000.0,M2,1,18,-0.781759356045441,0.28959708201108425,0.5463003413868353,0.4444444444444444,0.5,0.2835712218417355,0.7164287781582644,0.8333333333333334,0.6186434465103174,0.9507117694313367,0.9444444444444444,0.768388191510474,0.9939386558346731
final,1000000000.0,M2,5,18,-0.5096660122257087,0.2239381155791105,0.456800294861545,0.3333333333333333,0.6111111111111112,0.38335404270757856,0.806186788505789,0.8333333333333334,0.6186434465103174,0.9507117694313367,0.9444444444444444,0.768388191510474,0.9939386558346731
final,1000000000.0,M2,10,18,-0.43364155070409344,0.2123905822793548,0.4435499550545443,0.2222222222222222,0.6111111111111112,0.38335404270757856,0.806186788505789,0.8888888888888888,0.688849136144016,0.9761754602619871,0.9444444444444444,0.768388191510474,0.9939386558346731
final,1000000000.0,M2,20,18,-0.30790665879145807,0.19488787628497045,0.4519773346592744,0.2222222222222222,0.5,0.2835712218417355,0.7164287781582644,0.8888888888888888,0.688849136144016,0.9761754602619871,0.9444444444444444,0.768388191510474,0.9939386558346731
final,1000000000.0,M3,5,18,-0.48655456635809435,0.22589007243587034,0.46331854226903907,0.3333333333333333,0.5555555555555556,0.3321953458541416,0.762568399704806,0.8888888888888888,0.688849136144016,0.9761754602619871,1.0,0.8714417881782404,0.9999730968826991
final,1000000000.0,M3,10,18,-0.3820290633806964,0.20847137961653184,0.45506753839683345,0.2222222222222222,0.5,0.2835712218417355,0.7164287781582644,0.8888888888888888,0.688849136144016,0.9761754602619871,0.9444444444444444,0.768388191510474,0.9939386558346731
final,1000000000.0,M3,20,18,-0.2980422676017913,0.1937090272858389,0.46394245644748494,0.2222222222222222,0.4444444444444444,0.23743160029519395,0.6678046541458583,0.8888888888888888,0.688849136144016,0.9761754602619871,0.9444444444444444,0.768388191510474,0.9939386558346731
